Date,Open,High,Low,Close,Adj Close,Volume
2016-03-24,26.367500,26.562500,26.222500,26.417500,24.607866,104532000
2016-03-28,26.500000,26.547501,26.264999,26.297501,24.496084,77645600
2016-03-29,26.222500,26.947500,26.219999,26.920000,25.075943,124760400
2016-03-30,27.162500,27.605000,27.150000,27.389999,25.513748,182404400
2016-03-31,27.430000,27.475000,27.219999,27.247499,25.381014,103553600
2016-04-01,27.195000,27.500000,27.049999,27.497499,25.613882,103496000
2016-04-04,27.605000,28.047501,27.567499,27.780001,25.877037,149424800
2016-04-05,27.377501,27.682501,27.355000,27.452499,25.571972,106314800
2016-04-06,27.557501,27.745001,27.299999,27.740000,25.839775,105616400
2016-04-07,27.487499,27.605000,27.030001,27.135000,25.276215,127207600
2016-04-08,27.227501,27.442499,27.042500,27.165001,25.304159,94326800
2016-04-11,27.242500,27.652500,27.207500,27.254999,25.387993,117630000
2016-04-12,27.334999,27.625000,27.165001,27.610001,25.718679,108929200
2016-04-13,27.700001,28.084999,27.700001,28.010000,26.091280,133029200
2016-04-14,27.905001,28.097500,27.832500,28.025000,26.105249,101895600
2016-04-15,28.027500,28.075001,27.432501,27.462500,25.581285,187756000
2016-04-18,27.222500,27.237499,26.735001,26.870001,25.029371,243286000
2016-04-19,26.969999,27.000000,26.557501,26.727501,24.896631,129539600
2016-04-20,26.660000,27.022499,26.514999,26.782499,24.947865,122444000
2016-04-21,26.732500,26.732500,26.379999,26.492500,24.677727,126210000
2016-04-22,26.252501,26.620001,26.155001,26.420000,24.610197,134732400
2016-04-25,26.250000,26.412500,26.127501,26.270000,24.470469,112126400
2016-04-26,25.977501,26.325001,25.977501,26.087500,24.300468,224064800
2016-04-27,24.000000,24.677500,23.920000,24.455000,22.779797,458408400
2016-04-28,24.402500,24.469999,23.562500,23.707500,22.083506,328970800
2016-04-29,23.497499,23.680000,23.127501,23.434999,21.829670,274126000
2016-05-02,23.492500,23.520000,23.100000,23.410000,21.806383,192640400
2016-05-03,23.549999,23.934999,23.420000,23.795000,22.165010,227325200
2016-05-04,23.799999,23.975000,23.455000,23.547501,21.934462,164102000
2016-05-05,23.500000,23.517500,23.170000,23.309999,21.845438,143562000
2016-05-06,23.342501,23.362499,22.962500,23.180000,21.723604,174799600
2016-05-09,23.250000,23.442499,23.147499,23.197500,21.740002,131745600
2016-05-10,23.332500,23.392500,23.027500,23.355000,21.887602,134747200
2016-05-11,23.370001,23.392500,23.115000,23.127501,21.674400,114876400
2016-05-12,23.180000,23.195000,22.367500,22.584999,21.165979,305258800
2016-05-13,22.500000,22.917500,22.500000,22.629999,21.208157,177571200
2016-05-16,23.097500,23.597500,22.912500,23.469999,21.995382,245039200
2016-05-17,23.637501,23.674999,23.252501,23.372499,21.904011,187667600
2016-05-18,23.540001,23.802500,23.472500,23.639999,22.154696,168249600
2016-05-19,23.660000,23.660000,23.392500,23.549999,22.070351,121768400
2016-05-20,23.660000,23.857500,23.629999,23.805000,22.309332,128104000
